"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Has_Cabin","Fare_capped","Age_norm","Fare_norm","Sex_encoded","Embarked_C","Embarked_Q","Embarked_S"
1,"2","female",3,1,2,41.5792,"C",0,41.5792,0.0324202060819301,0.166980567794652,0,1,0,0
1,"3","female",19,0,0,7.8792,"Q",0,7.8792,0.233475747675295,0.0316425830647925,0,0,1,0
0,"3","male",25,0,0,8.05,"S",0,8.05,0.308871575772807,0.0323285097055005,1,0,0,1
0,"3","male",25,1,0,15.5,"Q",0,15.5,0.308871575772807,0.0622474410478581,1,0,1,0
1,"3","female",21.5,0,0,7.75,"Q",0,7.75,0.264890676049259,0.031123720523929,0,0,1,0
0,"3","male",25,2,0,21.6792,"C",0,21.6792,0.308871575772807,0.087062885417079,1,1,0,0
0,"3","female",18,1,0,17.8,"S",0,17.8,0.22090977632571,0.0714841581065725,0,0,0,1
0,"3","male",7,4,1,39.6875,"S",0,39.6875,0.0826840914802714,0.159383568812056,1,0,0,1
0,"3","male",21,0,0,7.8,"S",0,7.8,0.258607690374466,0.0313245187208576,1,0,0,1
1,"1","female",49,1,0,76.7292,"C",1,76.7292,0.610454888162855,0.30814170023544,0,1,0,0
1,"2","female",29,1,0,26,"S",0,26,0.359135461171149,0.104415062402859,0,0,0,1
0,"1","male",65,0,1,61.9792,"C",1,61.9792,0.81151042975622,0.24890623214151,1,1,0,0
1,"1","male",40,0,0,35.5,"S",1,35.5,0.497361146016587,0.142566719819288,1,0,0,1
1,"2","female",21,0,0,10.5,"S",0,10.5,0.258607690374466,0.0421676213550006,0,0,0,1
0,"3","male",28.5,0,0,7.2292,"C",0,7.2292,0.352852475496356,0.029032206504721,1,1,0,0
1,"2","female",5,1,2,27.75,"S",0,27.75,0.0575521487811008,0.111442999295359,0,0,0,1
0,"3","male",11,5,2,46.9,"S",0,46.9,0.132947976878613,0.188348708719003,1,0,0,1
0,"3","male",22,0,0,7.2292,"C",0,7.2292,0.271173661724051,0.029032206504721,1,1,0,0
1,"1","female",38,0,0,80,"S",1,80,0.472229203317416,0.321277115085719,0,0,0,1
0,"1","male",45,1,0,83.475,"S",1,83.475,0.560191002764514,0.335232589772255,1,0,0,1
0,"3","male",4,3,2,27.9,"S",0,27.9,0.0449861774315155,0.112045393886145,1,0,0,1
0,"1","male",40,0,0,27.7208,"C",0,27.7208,0.497361146016587,0.111325733148353,1,1,0,0
1,"3","male",25,1,1,15.2458,"C",0,15.2458,0.308871575772807,0.0612265830146732,1,1,0,0
1,"2","female",29,0,0,10.5,"S",1,10.5,0.359135461171149,0.0421676213550006,0,0,0,1
0,"3","male",19,0,0,8.1583,"S",0,8.1583,0.233475747675295,0.0327634386000478,1,0,0,1
1,"3","female",17,4,2,7.925,"S",0,7.925,0.208343804976125,0.0318265142131791,0,0,0,1
0,"3","male",26,2,0,8.6625,"S",0,8.6625,0.321437547122393,0.0347882876178755,1,0,0,1
0,"2","male",32,0,0,10.5,"S",0,10.5,0.396833375219904,0.0421676213550006,1,0,0,1
0,"3","female",16,5,2,46.9,"S",0,46.9,0.195777833626539,0.188348708719003,0,0,0,1
0,"2","male",21,0,0,73.5,"S",0,73.5,0.258607690374466,0.295173349485004,1,0,0,1
0,"3","male",26,1,0,14.4542,"C",0,14.4542,0.321437547122393,0.0580475459609,1,1,0,0
1,"3","male",32,0,0,56.4958,"S",0,56.4958,0.396833375219904,0.226885095480747,1,0,0,1
0,"3","male",25,0,0,7.65,"S",1,7.65,0.308871575772807,0.0307221241300719,1,0,0,1
0,"3","male",25,0,0,7.8958,"S",0,7.8958,0.308871575772807,0.0317092480661728,1,0,0,1
0,"3","male",25,0,0,8.05,"S",0,8.05,0.308871575772807,0.0323285097055005,1,0,0,1
1,"2","male",0.83,0,2,29,"S",0,29,0.00515204825332998,0.116462954218573,1,0,0,1
1,"3","female",30,0,0,12.475,"S",0,12.475,0.371701432520734,0.0500991501336793,0,0,0,1
0,"3","male",22,0,0,9,"S",0,9,0.271173661724051,0.0361436754471434,1,0,0,1
1,"3","male",29,0,0,9.5,"S",0,9.5,0.359135461171149,0.0381516574164291,1,0,0,1
1,"3","female",21.5,0,0,7.7875,"Q",0,7.7875,0.264890676049259,0.0312743191716255,0,0,1,0
0,"1","male",28,0,0,47.1,"S",0,47.1,0.346569489821563,0.189151901506717,1,0,0,1
1,"2","female",17,0,0,10.5,"S",0,10.5,0.208343804976125,0.0421676213550006,0,0,0,1
1,"3","female",33,3,0,15.85,"S",0,15.85,0.40939934656949,0.0636530284263581,0,0,0,1
0,"3","male",16,1,3,34.375,"S",0,34.375,0.195777833626539,0.138048760388395,1,0,0,1
0,"3","male",25,0,0,8.05,"S",0,8.05,0.308871575772807,0.0323285097055005,1,0,0,1
1,"1","female",23,3,2,263,"S",1,249.00622,0.283739633073637,1,0,0,0,1
0,"3","male",24,0,0,8.05,"S",0,8.05,0.296305604423222,0.0323285097055005,1,0,0,1
0,"3","male",29,0,0,8.05,"S",0,8.05,0.359135461171149,0.0323285097055005,1,0,0,1
0,"3","male",20,0,0,7.8542,"S",0,7.8542,0.246041719024881,0.0315421839663282,1,0,0,1
0,"1","male",46,1,0,61.175,"S",1,61.175,0.572756974114099,0.245676593942111,1,0,0,1
0,"3","male",26,1,2,20.575,"S",0,20.575,0.321437547122393,0.0826284580361084,1,0,0,1
0,"3","male",59,0,0,7.25,"S",0,7.25,0.736114601658708,0.0291157385546433,1,0,0,1
0,"3","male",25,0,0,8.05,"S",0,8.05,0.308871575772807,0.0323285097055005,1,0,0,1
0,"1","male",71,0,0,34.6542,"C",1,34.6542,0.886906257853732,0.139170017520044,1,1,0,0
1,"1","male",23,0,1,63.3583,"C",1,63.3583,0.283739633073637,0.254444648009194,1,1,0,0
1,"2","female",34,0,1,23,"S",0,23,0.421965317919075,0.0923671705871442,0,0,0,1
0,"2","male",34,1,0,26,"S",0,26,0.421965317919075,0.104415062402859,1,0,0,1
0,"3","female",28,0,0,7.8958,"S",0,7.8958,0.346569489821563,0.0317092480661728,0,0,0,1
0,"3","male",25,0,0,7.8958,"S",0,7.8958,0.308871575772807,0.0317092480661728,1,0,0,1
0,"1","male",21,0,1,77.2875,"S",1,77.2875,0.258607690374466,0.310383812902344,1,0,0,1
0,"3","male",33,0,0,8.6542,"S",0,8.6542,0.40939934656949,0.0347549551171854,1,0,0,1
0,"3","male",37,2,0,7.925,"S",0,7.925,0.459663231967831,0.0318265142131791,1,0,0,1
0,"3","male",28,0,0,7.8958,"S",0,7.8958,0.346569489821563,0.0317092480661728,1,0,0,1
1,"3","female",21,0,0,7.65,"S",0,7.65,0.258607690374466,0.0307221241300719,0,0,0,1
1,"3","male",25,0,0,7.775,"S",0,7.775,0.308871575772807,0.0312241196223933,1,0,0,1
0,"3","male",38,0,0,7.8958,"S",0,7.8958,0.472229203317416,0.0317092480661728,1,0,0,1
1,"3","female",21.5,1,0,24.15,"Q",0,24.15,0.264890676049259,0.0969855291165014,0,0,1,0
0,"1","male",47,0,0,52,"S",1,52,0.585322945463684,0.208830124805717,1,0,0,1
0,"3","female",14.5,1,0,14.4542,"C",0,14.4542,0.176928876602161,0.0580475459609,0,1,0,0
0,"3","male",22,0,0,8.05,"S",0,8.05,0.271173661724051,0.0323285097055005,1,0,0,1
0,"3","female",20,1,0,9.825,"S",0,9.825,0.246041719024881,0.0394568456964649,0,0,0,1
0,"3","female",17,0,0,14.4583,"C",0,14.4583,0.208343804976125,0.0580640114130482,0,1,0,0
0,"3","male",21,0,0,7.925,"S",0,7.925,0.258607690374466,0.0318265142131791,1,0,0,1
0,"3","male",70.5,0,0,7.75,"Q",0,7.75,0.880623272178939,0.031123720523929,1,0,1,0
0,"2","male",29,1,0,21,"S",0,21,0.359135461171149,0.0843352427100013,1,0,0,1
0,"1","male",24,0,1,247.5208,"C",1,247.5208,0.296305604423222,0.994034606846366,1,1,0,0
0,"3","female",2,4,2,31.275,"S",0,31.275,0.0198542347323448,0.125599272178823,0,0,0,1
0,"2","male",21,2,0,73.5,"S",0,73.5,0.258607690374466,0.295173349485004,1,0,0,1
0,"3","male",25,0,0,8.05,"S",0,8.05,0.308871575772807,0.0323285097055005,1,0,0,1
0,"2","male",32.5,1,0,30.0708,"C",0,30.0708,0.403116360894697,0.120763248403996,1,1,0,0
1,"2","female",32.5,0,0,13,"S",1,13,0.403116360894697,0.0522075312014294,0,0,0,1
0,"1","male",54,0,1,77.2875,"S",1,77.2875,0.673284744910782,0.310383812902344,1,0,0,1
1,"3","male",12,1,0,11.2417,"C",0,11.2417,0.145513948228198,0.0451462618082391,1,1,0,0
0,"3","male",25,0,0,7.75,"Q",0,7.75,0.308871575772807,0.031123720523929,1,0,1,0
1,"3","male",24,0,0,7.1417,"S",0,7.1417,0.296305604423222,0.028680809660096,1,0,0,1
1,"3","female",21.5,1,1,22.3583,"C",1,22.3583,0.264890676049259,0.0897901265277629,0,1,0,0
0,"3","male",45,0,0,6.975,"S",0,6.975,0.560191002764514,0.0280113484715361,1,0,0,1
0,"3","male",33,0,0,7.8958,"C",0,7.8958,0.40939934656949,0.0317092480661728,1,1,0,0
0,"3","male",20,0,0,7.05,"S",0,7.05,0.246041719024881,0.028312545766929,1,0,0,1
0,"3","female",47,1,0,14.5,"S",0,14.5,0.585322945463684,0.0582314771092866,0,0,0,1
1,"2","female",29,1,0,26,"S",0,26,0.359135461171149,0.104415062402859,0,0,0,1
0,"2","male",25,0,0,13,"S",0,13,0.308871575772807,0.0522075312014294,1,0,0,1
0,"2","male",23,0,0,15.0458,"C",0,15.0458,0.283739633073637,0.0604233902269589,1,1,0,0
1,"1","female",19,0,2,26.2833,"S",1,26.2833,0.233475747675295,0.105552784986656,0,0,0,1
0,"1","male",37,1,0,53.1,"S",1,53.1,0.459663231967831,0.213247685138146,1,0,0,1
0,"3","male",16,0,0,9.2167,"S",0,9.2167,0.195777833626539,0.0370139348326318,1,0,0,1
0,"1","male",24,0,0,79.2,"C",1,79.2,0.296305604423222,0.318064343934862,1,1,0,0
0,"3","female",21.5,0,2,15.2458,"C",0,15.2458,0.264890676049259,0.0612265830146732,0,1,0,0
1,"3","female",22,0,0,7.75,"S",0,7.75,0.271173661724051,0.031123720523929,0,0,0,1
1,"3","female",24,1,0,15.85,"S",0,15.85,0.296305604423222,0.0636530284263581,0,0,0,1
0,"3","male",19,0,0,6.75,"Q",0,6.75,0.233475747675295,0.0271077565853576,1,0,1,0
0,"2","male",18,0,0,11.5,"S",0,11.5,0.22090977632571,0.0461835852935721,1,0,0,1
0,"2","male",19,1,1,36.75,"S",0,36.75,0.233475747675295,0.147586674742502,1,0,0,1
1,"3","male",27,0,0,7.7958,"S",0,7.7958,0.334003518471978,0.0313076516723156,1,0,0,1
0,"3","female",9,2,2,34.375,"S",0,34.375,0.107816034179442,0.138048760388395,0,0,0,1
0,"2","male",36.5,0,2,26,"S",1,26,0.453380246293038,0.104415062402859,1,0,0,1
0,"2","male",42,0,0,13,"S",0,13,0.522493088715758,0.0522075312014294,1,0,0,1
0,"2","male",51,0,0,12.525,"S",0,12.525,0.635586830862026,0.0502999483306079,1,0,0,1
1,"1","female",22,1,0,66.6,"S",1,66.6,0.271173661724051,0.267463198308861,0,0,0,1
0,"3","male",55.5,0,0,8.05,"S",0,8.05,0.69213370193516,0.0323285097055005,1,0,0,1
0,"3","male",40.5,0,2,14.5,"S",0,14.5,0.50364413169138,0.0582314771092866,1,0,0,1
0,"3","male",25,0,0,7.3125,"S",0,7.3125,0.308871575772807,0.029366736300804,1,0,0,1
0,"1","male",51,0,1,61.3792,"C",0,61.3792,0.635586830862026,0.246496653778367,1,1,0,0
1,"3","female",16,0,0,7.7333,"Q",0,7.7333,0.195777833626539,0.0310566539261549,0,0,1,0
0,"3","male",30,0,0,8.05,"S",0,8.05,0.371701432520734,0.0323285097055005,1,0,0,1
0,"3","male",25,0,0,8.6625,"S",0,8.6625,0.308871575772807,0.0347882876178755,1,0,0,1
0,"3","male",25,8,2,69.55,"S",0,69.55,0.308871575772807,0.279310291927647,1,0,0,1
0,"3","male",44,0,1,16.1,"S",0,16.1,0.547625031414928,0.064657019411001,1,0,0,1
1,"2","female",40,0,0,15.75,"S",0,15.75,0.497361146016587,0.063251432032501,0,0,0,1
0,"3","male",26,0,0,7.775,"S",0,7.775,0.321437547122393,0.0312241196223933,1,0,0,1
0,"3","male",17,0,0,8.6625,"S",0,8.6625,0.208343804976125,0.0347882876178755,1,0,0,1
0,"3","male",1,4,1,39.6875,"S",0,39.6875,0.00728826338275949,0.159383568812056,1,0,0,1
1,"3","male",9,0,2,20.525,"S",0,20.525,0.107816034179442,0.0824276598391798,1,0,0,1
1,"1","female",35,0,1,55,"S",1,55,0.43453128926866,0.220878016621432,0,0,0,1
0,"3","female",45,1,4,27.9,"S",0,27.9,0.560191002764514,0.112045393886145,0,0,0,1
0,"1","male",40,0,0,25.925,"S",0,25.925,0.497361146016587,0.104113865107466,1,0,0,1
0,"3","male",28,0,0,56.4958,"S",0,56.4958,0.346569489821563,0.226885095480747,1,0,0,1
0,"1","male",61,0,0,33.5,"S",1,33.5,0.761246544357879,0.134534791942145,1,0,0,1
0,"3","male",4,4,1,29.125,"Q",0,29.125,0.0449861774315155,0.116964949710895,1,0,1,0
1,"3","female",1,1,1,11.1333,"S",0,11.1333,0.00728826338275949,0.044710931317298,0,0,0,1
0,"3","male",21,0,0,7.925,"S",0,7.925,0.258607690374466,0.0318265142131791,1,0,0,1
0,"1","male",56,0,0,30.6958,"C",1,30.6958,0.698416687609952,0.123273225865603,1,1,0,0
0,"3","male",18,1,1,7.8542,"S",0,7.8542,0.22090977632571,0.0315421839663282,1,0,0,1
0,"3","male",25,3,1,25.4667,"S",0,25.4667,0.308871575772807,0.102273348834419,1,0,0,1
0,"1","female",50,0,0,28.7125,"C",1,28.7125,0.62302085951244,0.115308364586234,0,1,0,0
0,"2","male",30,0,0,13,"S",0,13,0.371701432520734,0.0522075312014294,1,0,0,1
0,"3","male",36,0,0,0,"S",0,0,0.447097260618246,0,1,0,0,1
0,"3","female",21.5,8,2,69.55,"S",0,69.55,0.264890676049259,0.279310291927647,0,0,0,1
0,"2","male",30,0,0,15.05,"C",0,15.05,0.371701432520734,0.0604402572755009,1,1,0,0
0,"3","male",9,4,2,31.3875,"S",0,31.3875,0.107816034179442,0.126051068121913,1,0,0,1
1,"2","male",1,2,1,39,"S",1,39,0.00728826338275949,0.156622593604288,1,0,0,1
1,"3","female",4,0,2,22.025,"S",0,22.025,0.0449861774315155,0.088451605747037,0,0,0,1
0,"1","male",40,0,0,50,"S",1,50,0.497361146016587,0.200798196928574,1,0,0,1
1,"3","female",21.5,1,0,15.5,"Q",0,15.5,0.264890676049259,0.0622474410478581,0,0,1,0
1,"1","male",45,0,0,26.55,"S",0,26.55,0.560191002764514,0.106623842569073,1,0,0,1
0,"3","male",40,1,1,15.5,"Q",0,15.5,0.497361146016587,0.0622474410478581,1,0,1,0
0,"3","male",36,0,0,7.8958,"S",0,7.8958,0.447097260618246,0.0317092480661728,1,0,0,1
1,"2","female",32,0,0,13,"S",0,13,0.396833375219904,0.0522075312014294,0,0,0,1
0,"2","male",19,0,0,13,"S",0,13,0.233475747675295,0.0522075312014294,1,0,0,1
1,"3","female",19,1,0,7.8542,"S",0,7.8542,0.233475747675295,0.0315421839663282,0,0,0,1
1,"2","male",3,1,1,26,"S",1,26,0.0324202060819301,0.104415062402859,1,0,0,1
1,"1","female",44,0,0,27.7208,"C",1,27.7208,0.547625031414928,0.111325733148353,0,1,0,0
1,"1","female",58,0,0,146.5208,"C",1,146.5208,0.723548630309123,0.588422249050645,0,1,0,0
0,"3","male",25,0,0,7.75,"Q",0,7.75,0.308871575772807,0.031123720523929,1,0,1,0
0,"3","male",42,0,1,8.4042,"S",0,8.4042,0.522493088715758,0.0337509641325425,1,0,0,1
1,"3","female",21.5,0,0,7.75,"Q",0,7.75,0.264890676049259,0.031123720523929,0,0,1,0
0,"2","female",24,0,0,13,"S",0,13,0.296305604423222,0.0522075312014294,0,0,0,1
0,"3","male",28,0,0,9.5,"S",0,9.5,0.346569489821563,0.0381516574164291,1,0,0,1
0,"3","male",25,8,2,69.55,"S",0,69.55,0.308871575772807,0.279310291927647,1,0,0,1
0,"3","male",34,0,0,6.4958,"S",0,6.4958,0.421965317919075,0.0260868985521727,1,0,0,1
0,"3","male",45.5,0,0,7.225,"C",0,7.225,0.566473988439306,0.029015339456179,1,1,0,0
1,"3","male",18,0,0,8.05,"S",0,8.05,0.22090977632571,0.0323285097055005,1,0,0,1
0,"3","female",2,0,1,10.4625,"S",1,10.4625,0.0198542347323448,0.0420170227073042,0,0,0,1
0,"3","male",32,1,0,15.85,"S",0,15.85,0.396833375219904,0.0636530284263581,1,0,0,1
1,"3","male",26,0,0,18.7875,"C",0,18.7875,0.321437547122393,0.0754499224959119,1,1,0,0
1,"3","female",16,0,0,7.75,"Q",0,7.75,0.195777833626539,0.031123720523929,0,0,1,0
1,"1","male",40,0,0,31,"C",1,31,0.497361146016587,0.124494882095716,1,1,0,0
0,"3","male",24,0,0,7.05,"S",0,7.05,0.296305604423222,0.028312545766929,1,0,0,1
1,"2","female",35,0,0,21,"S",0,21,0.43453128926866,0.0843352427100013,0,0,0,1
0,"3","male",22,0,0,7.25,"S",0,7.25,0.271173661724051,0.0291157385546433,1,0,0,1
0,"2","male",30,0,0,13,"S",0,13,0.371701432520734,0.0522075312014294,1,0,0,1
0,"3","male",25,1,0,7.75,"Q",0,7.75,0.308871575772807,0.031123720523929,1,0,1,0
1,"1","female",31,1,0,113.275,"C",1,113.275,0.384267403870319,0.454908315141685,0,1,0,0
1,"3","female",27,0,0,7.925,"S",0,7.925,0.334003518471978,0.0318265142131791,0,0,0,1
0,"2","male",42,1,0,27,"S",0,27,0.522493088715758,0.10843102634143,1,0,0,1
1,"1","female",32,0,0,76.2917,"C",1,76.2917,0.396833375219904,0.306384716012314,0,1,0,0
0,"2","male",30,0,0,10.5,"S",0,10.5,0.371701432520734,0.0421676213550006,1,0,0,1
1,"3","male",16,0,0,8.05,"S",0,8.05,0.195777833626539,0.0323285097055005,1,0,0,1
0,"2","male",27,0,0,13,"S",0,13,0.334003518471978,0.0522075312014294,1,0,0,1
0,"3","male",51,0,0,8.05,"S",0,8.05,0.635586830862026,0.0323285097055005,1,0,0,1
0,"3","male",25,0,0,7.8958,"S",0,7.8958,0.308871575772807,0.0317092480661728,1,0,0,1
1,"1","male",38,1,0,90,"S",1,90,0.472229203317416,0.361436754471434,1,0,0,1
0,"3","male",22,0,0,9.35,"S",0,9.35,0.271173661724051,0.0375492628256434,1,0,0,1
1,"2","male",19,0,0,10.5,"S",0,10.5,0.233475747675295,0.0421676213550006,1,0,0,1
0,"3","male",20.5,0,0,7.25,"S",0,7.25,0.252324704699673,0.0291157385546433,1,0,0,1
0,"2","male",18,0,0,13,"S",0,13,0.22090977632571,0.0522075312014294,1,0,0,1
0,"3","female",21.5,3,1,25.4667,"S",0,25.4667,0.264890676049259,0.102273348834419,0,0,0,1
1,"1","female",35,1,0,83.475,"S",1,83.475,0.43453128926866,0.335232589772255,0,0,0,1
0,"3","male",29,0,0,7.775,"S",0,7.775,0.359135461171149,0.0312241196223933,1,0,0,1
0,"2","male",59,0,0,13.5,"S",0,13.5,0.736114601658708,0.0542155131707151,1,0,0,1
1,"3","female",5,4,2,31.3875,"S",0,31.3875,0.0575521487811008,0.126051068121913,0,0,0,1
0,"2","male",24,0,0,10.5,"S",0,10.5,0.296305604423222,0.0421676213550006,1,0,0,1
0,"3","female",21.5,0,0,7.55,"S",0,7.55,0.264890676049259,0.0303205277362147,0,0,0,1
0,"2","male",44,1,0,26,"S",0,26,0.547625031414928,0.104415062402859,1,0,0,1
1,"2","female",8,0,2,26.25,"S",0,26.25,0.0952500628298567,0.105419053387502,0,0,0,1
0,"2","male",19,0,0,10.5,"S",0,10.5,0.233475747675295,0.0421676213550006,1,0,0,1
0,"2","male",33,0,0,12.275,"S",0,12.275,0.40939934656949,0.049295957345965,1,0,0,1
0,"3","female",21.5,1,0,14.4542,"C",0,14.4542,0.264890676049259,0.0580475459609,0,1,0,0
1,"3","female",21.5,1,0,15.5,"Q",0,15.5,0.264890676049259,0.0622474410478581,0,0,1,0
0,"2","male",29,0,0,10.5,"S",0,10.5,0.359135461171149,0.0421676213550006,1,0,0,1
0,"3","male",22,0,0,7.125,"S",0,7.125,0.271173661724051,0.0286137430623219,1,0,0,1
0,"3","male",30,0,0,7.225,"C",0,7.225,0.371701432520734,0.029015339456179,1,1,0,0
0,"1","male",44,2,0,90,"Q",1,90,0.547625031414928,0.361436754471434,1,0,1,0
0,"3","female",25,0,0,7.775,"S",0,7.775,0.308871575772807,0.0312241196223933,0,0,0,1
1,"2","female",24,0,2,14.5,"S",0,14.5,0.296305604423222,0.0582314771092866,0,0,0,1
1,"1","male",37,1,1,52.5542,"S",1,52.5542,0.459663231967831,0.211055772020474,1,0,0,1
0,"2","male",54,1,0,26,"S",0,26,0.673284744910782,0.104415062402859,1,0,0,1
0,"3","male",25,0,0,7.25,"S",0,7.25,0.308871575772807,0.0291157385546433,1,0,0,1
0,"3","female",29,1,1,10.4625,"S",1,10.4625,0.359135461171149,0.0420170227073042,0,0,0,1
0,"1","male",62,0,0,26.55,"S",1,26.55,0.773812515707464,0.106623842569073,1,0,0,1
0,"3","male",30,1,0,16.1,"S",0,16.1,0.371701432520734,0.064657019411001,1,0,0,1
0,"3","female",41,0,2,20.2125,"S",0,20.2125,0.509927117366172,0.0811726711083762,0,0,0,1
1,"3","female",29,0,2,15.2458,"C",0,15.2458,0.359135461171149,0.0612265830146732,0,1,0,0
1,"1","female",35,0,0,79.2,"C",0,79.2,0.43453128926866,0.318064343934862,0,1,0,0
1,"1","female",30,0,0,86.5,"S",1,86.5,0.371701432520734,0.347380880686434,0,0,0,1
1,"1","female",35,0,0,512.3292,"C",0,249.00622,0.43453128926866,1,0,1,0,0
1,"2","female",50,0,1,26,"S",0,26,0.62302085951244,0.104415062402859,0,0,0,1
0,"3","male",25,0,0,7.75,"Q",0,7.75,0.308871575772807,0.031123720523929,1,0,1,0
1,"3","male",3,4,2,31.3875,"S",0,31.3875,0.0324202060819301,0.126051068121913,1,0,0,1
0,"1","male",52,1,1,79.65,"S",1,79.65,0.648152802211611,0.319871527707219,1,0,0,1
0,"1","male",40,0,0,0,"S",1,0,0.497361146016587,0,1,0,0,1
0,"3","female",21.5,0,0,7.75,"Q",0,7.75,0.264890676049259,0.031123720523929,0,0,1,0
0,"2","male",36,0,0,10.5,"S",0,10.5,0.447097260618246,0.0421676213550006,1,0,0,1
0,"3","male",16,4,1,39.6875,"S",0,39.6875,0.195777833626539,0.159383568812056,1,0,0,1
1,"3","male",25,1,0,7.775,"S",0,7.775,0.308871575772807,0.0312241196223933,1,0,0,1
1,"1","female",58,0,1,153.4625,"S",1,153.4625,0.723548630309123,0.616299865923027,0,0,0,1
1,"1","female",35,0,0,135.6333,"S",1,135.6333,0.43453128926866,0.544698441669448,0,0,0,1
0,"1","male",40,0,0,31,"S",0,31,0.497361146016587,0.124494882095716,1,0,0,1
1,"3","male",25,0,0,0,"S",0,0,0.308871575772807,0,1,0,0,1
